id,group_name,group_email,group_location,activity_title,activity_description,open_slots,activity_date,user_id
50,Eleazar.Weimann69,Benedict56@hotmail.com,72725,dolor,Quia impedit voluptas aut voluptatem.,3,Sat Jul 03 2021 00:20:00 GMT-0700 (Mountain Standard Time),33
51,Eden97,Jane69@yahoo.com,91704,quibusdam,Qui ea maiores voluptas.,3,Fri Jul 30 2021 11:03:39 GMT-0700 (Mountain Standard Time),36
52,Anjali83,Ayana_Steuber40@gmail.com,45592,quia,Qui dolorum maiores totam cumque distinctio maiores quaerat ut incidunt.,2,Sun Jun 06 2021 17:49:22 GMT-0700 (Mountain Standard Time),42
53,Orval.Padberg1,Jerel_Kiehn79@yahoo.com,55420,et,Et commodi natus.,4,Fri Jul 30 2021 18:47:32 GMT-0700 (Mountain Standard Time),30
54,Florence.Flatley80,Chaim.Wyman@gmail.com,72602-6893,sit,Ratione quibusdam et nesciunt autem aspernatur sed.,3,Sun Jul 04 2021 06:46:27 GMT-0700 (Mountain Standard Time),29
55,Ethelyn.Runolfsdottir37,Teagan.Larkin89@yahoo.com,94252-5865,et,Aut mollitia temporibus facere adipisci.,4,Sun Aug 01 2021 11:01:03 GMT-0700 (Mountain Standard Time),25
56,Juliet31,Jayce76@gmail.com,82835-6257,est,Tempora aperiam accusamus quas impedit excepturi in temporibus molestias non.,4,Sun Jun 27 2021 05:39:39 GMT-0700 (Mountain Standard Time),91
57,Oda.Collier,Jermaine_Rath53@hotmail.com,35481-8996,dolor,Veniam possimus nam vitae nobis laborum repellendus consequuntur autem.,4,Wed Jun 02 2021 13:58:43 GMT-0700 (Mountain Standard Time),19
58,Cole61,Otto.Bechtelar11@hotmail.com,00273,nihil,Voluptas totam officiis voluptas omnis praesentium ut.,3,Fri Jul 23 2021 03:28:54 GMT-0700 (Mountain Standard Time),33
59,Mauricio.OReilly,Drake.Hermiston5@yahoo.com,05841-2368,quia,Sed officiis facilis harum et et tenetur.,3,Thu Jul 29 2021 06:53:00 GMT-0700 (Mountain Standard Time),32
60,Clyde4,Kaley82@yahoo.com,06012-1480,nostrum,Voluptas tempore error voluptatum commodi inventore.,4,Fri Jul 09 2021 18:49:49 GMT-0700 (Mountain Standard Time),63
61,Luther.Collins,Lenora.Reilly@gmail.com,90695,id,Vel sit vitae sunt non dolores quas amet voluptatem.,4,Tue Jul 27 2021 13:20:00 GMT-0700 (Mountain Standard Time),92
62,Ambrose_Anderson,Antone.MacGyver25@yahoo.com,20617-0590,qui,Repellendus enim et voluptas laudantium.,2,Tue Aug 10 2021 13:46:14 GMT-0700 (Mountain Standard Time),46
63,Danyka64,Antone55@gmail.com,87326,quis,Aut sed quia dolor.,4,Wed Jul 07 2021 16:52:24 GMT-0700 (Mountain Standard Time),38
64,Elisa36,Maeve_Walter@hotmail.com,59786-2866,dolore,Fugiat eum libero amet inventore.,3,Thu Jun 03 2021 08:20:22 GMT-0700 (Mountain Standard Time),70
65,Kaitlin_McKenzie83,Roberta_Abernathy@hotmail.com,55363-4672,omnis,Aspernatur iusto non reprehenderit tempora doloremque quo tenetur cupiditate voluptatem.,3,Mon May 31 2021 18:54:48 GMT-0700 (Mountain Standard Time),13
66,Flavio98,Tianna.Grady@yahoo.com,89134,molestiae,Rem pariatur illo et libero.,3,Sun Jun 06 2021 19:02:34 GMT-0700 (Mountain Standard Time),78
67,Marietta_Renner68,Davin.Nicolas66@hotmail.com,72984-1095,iure,Molestiae nesciunt nihil.,3,Mon Jul 05 2021 04:03:02 GMT-0700 (Mountain Standard Time),94
68,Amelie_Bednar,Aniyah_Gislason@gmail.com,45589,sed,Eos ut dolor suscipit sequi culpa.,2,Sun Jun 13 2021 20:17:32 GMT-0700 (Mountain Standard Time),40
69,Kelley65,Issac_Donnelly29@yahoo.com,39509,sunt,Cupiditate et sint sed nihil beatae et odio.,2,Sun Jul 18 2021 03:13:14 GMT-0700 (Mountain Standard Time),26
70,Amira_Raynor,Brenden_Beahan@gmail.com,30695,nobis,Quo voluptatem consequuntur magni.,4,Thu Jul 29 2021 15:17:33 GMT-0700 (Mountain Standard Time),38
71,Adrain.Romaguera33,Mariam_Schuppe@hotmail.com,87166,unde,Explicabo enim impedit est amet nulla sit voluptate.,4,Thu Jul 01 2021 01:20:07 GMT-0700 (Mountain Standard Time),44
72,Jovanny.Miller,Thad_Oberbrunner53@yahoo.com,55950,sint,Placeat debitis nam dolor quia ipsam.,4,Sat Jun 05 2021 06:44:46 GMT-0700 (Mountain Standard Time),18
73,Tom_Murphy11,Cordell_Kessler68@hotmail.com,53052,ratione,Est distinctio nobis pariatur.,4,Mon Jul 12 2021 23:52:19 GMT-0700 (Mountain Standard Time),24
74,Eulah_Gutkowski,Ole.Kassulke@yahoo.com,52041-2991,quod,Corporis voluptates vitae accusantium.,2,Sat Jun 19 2021 09:17:24 GMT-0700 (Mountain Standard Time),70
75,Terrell16,Jaquelin_Fahey29@gmail.com,30336,distinctio,Consequuntur porro ratione tempora nihil quo sequi architecto velit.,4,Mon Jun 28 2021 10:35:21 GMT-0700 (Mountain Standard Time),24
76,Leone54,Kasey_Reinger@hotmail.com,21566,quia,Aut assumenda facere.,4,Fri Jun 18 2021 02:35:38 GMT-0700 (Mountain Standard Time),9
77,Vinnie82,Vernice.Koss@gmail.com,58914-9127,ratione,Nemo inventore quisquam.,4,Sun Jul 18 2021 00:45:11 GMT-0700 (Mountain Standard Time),16
78,Golden_Dach,Maida94@hotmail.com,57795-8929,non,Qui repellendus itaque fuga.,4,Sat Jun 26 2021 21:13:40 GMT-0700 (Mountain Standard Time),95
79,Duane20,Melody28@hotmail.com,85111-0013,magnam,Sit ea qui.,2,Sun Jun 27 2021 05:14:01 GMT-0700 (Mountain Standard Time),68
80,Ethan.Sporer,Chet_Ryan94@gmail.com,85906,debitis,Fugit cum aut.,2,Sat Jun 05 2021 04:35:07 GMT-0700 (Mountain Standard Time),93
81,Sylvan.Pagac,Alysson95@yahoo.com,25107,delectus,Aut sint tempora voluptatem.,3,Sun Jul 04 2021 10:30:26 GMT-0700 (Mountain Standard Time),24
82,Favian_Rosenbaum86,Lexus91@hotmail.com,29559-1596,magni,Velit exercitationem cupiditate nostrum optio consectetur inventore consectetur doloremque.,3,Thu Jul 01 2021 03:31:39 GMT-0700 (Mountain Standard Time),50
83,Manuel_Koelpin11,Tracy_Nikolaus@gmail.com,30061,dignissimos,Tempore distinctio consequuntur est distinctio ea molestiae porro enim quos.,2,Wed Jun 09 2021 17:54:19 GMT-0700 (Mountain Standard Time),94
84,Rahul59,Bella_Hirthe7@yahoo.com,85895,debitis,Veritatis asperiores repellendus molestiae qui quis dolor eligendi.,4,Sat Jun 05 2021 00:21:05 GMT-0700 (Mountain Standard Time),27
85,Maximo_Kling,Misty18@yahoo.com,52675,sit,Saepe repellendus autem maxime.,3,Sat Jul 31 2021 01:43:52 GMT-0700 (Mountain Standard Time),41
86,Amanda.Kuphal23,Keegan.Purdy51@gmail.com,56777-6162,blanditiis,Ut exercitationem deserunt nesciunt consequatur et.,4,Tue Jul 06 2021 05:09:35 GMT-0700 (Mountain Standard Time),27
87,Lina.Torp50,Corene56@hotmail.com,41235,commodi,Corrupti aut ducimus.,3,Fri Jul 23 2021 08:17:21 GMT-0700 (Mountain Standard Time),99
88,Antone.Grimes,Reagan.Sporer83@yahoo.com,60031,provident,Quibusdam autem rerum debitis aperiam fugit.,4,Fri Jul 09 2021 21:01:24 GMT-0700 (Mountain Standard Time),3
89,Carroll33,Amya.Koepp27@hotmail.com,29527,sed,Quod dolorum quis dolores explicabo in.,4,Sat Jun 26 2021 07:57:16 GMT-0700 (Mountain Standard Time),86
90,Maximus_Bogan,Ariel.Donnelly48@yahoo.com,49339,deleniti,Beatae numquam commodi in quis expedita.,2,Fri Jun 18 2021 21:36:53 GMT-0700 (Mountain Standard Time),55
91,Ashlee.Lang,Cullen.Bergstrom21@yahoo.com,15530-1066,enim,Est harum magnam error recusandae quo vel non.,4,Tue Jun 01 2021 12:44:42 GMT-0700 (Mountain Standard Time),30
92,Elwin_Halvorson,Daphnee95@yahoo.com,97924,provident,Qui pariatur amet veniam qui reiciendis.,2,Mon Aug 02 2021 00:35:38 GMT-0700 (Mountain Standard Time),26
93,Rowland86,Maggie74@gmail.com,12724-1071,ut,Ea dolorum quos expedita reprehenderit nisi iusto labore sunt modi.,3,Wed Jul 21 2021 17:02:00 GMT-0700 (Mountain Standard Time),88
94,Myah.Goldner70,Claudie48@hotmail.com,01578-3999,excepturi,Quisquam qui nobis asperiores ipsa libero dicta.,3,Mon Jul 19 2021 11:10:34 GMT-0700 (Mountain Standard Time),19
95,Jovany.Altenwerth99,Rosalia94@hotmail.com,01395-9757,perspiciatis,Voluptates vel ipsam.,2,Mon Aug 09 2021 17:41:00 GMT-0700 (Mountain Standard Time),31
96,Hortense_Strosin96,Edmund55@yahoo.com,33253-2757,consectetur,Est voluptatem magnam quasi dolore nam maiores.,2,Wed Aug 11 2021 12:05:08 GMT-0700 (Mountain Standard Time),27
97,Ebba_Senger81,Dayne_Orn40@gmail.com,17855,nobis,Eum quibusdam eveniet est.,4,Sun Jun 13 2021 14:44:01 GMT-0700 (Mountain Standard Time),29
98,Jesus.Upton,Olaf3@gmail.com,94946,omnis,Quia rem fugiat libero et dicta quidem minus.,4,Mon Jun 14 2021 01:47:31 GMT-0700 (Mountain Standard Time),91
99,Sydney.Bauch,Telly.Towne10@gmail.com,72221-3280,commodi,Ad tenetur aut enim quaerat est qui vel temporibus unde.,3,Sat Jul 17 2021 01:21:38 GMT-0700 (Mountain Standard Time),60
100,Rogers.Gibson0,Lela_Paucek31@gmail.com,79987,soluta,In dolor rem voluptatum occaecati libero.,4,Fri Jun 18 2021 03:57:05 GMT-0700 (Mountain Standard Time),22
